name,crn,department,number,section,term,credits,start time,end time,days,start date,end date,building,room number,instructor
HON SEM: ECON OF BEER,90001,HON,301,H1,Fall 2019,-1,1:00 PM,1:55 PM,R,Aug 21 2019,Dec 13 2019,Frank Franz Hall,118,Richard E White
HON SEM: RAPID PROTOTYPING,90002,HON,301,H2,Fall 2019,-1,11:20 AM,12:15 PM,R,Aug 21 2019,Dec 13 2019,Frank Franz Hall,118,David A Chan
HON SEM: TUESDAY TALKS,90003,HON,301,H3,Fall 2019,-1,4:20 PM,5:15 PM,T,Aug 21 2019,Dec 13 2019,Frank Franz Hall,138,William S Wilkerson
HON SEM: FUTURE OF DESIGN,90004,HON,301,H4,Fall 2019,-1,9:40 AM,11:00 AM,M,Aug 21 2019,Dec 13 2019,Frank Franz Hall,118,Paul D Collopy
HONORS INTERNSHIP,90006,HON,400,H1,Fall 2019,3,TBA,TBA,TBA,Aug 21 2019,Dec 13 2019,TBA,TBA,William S Wilkerson
HONORS THESIS,90007,HON,499,H1,Fall 2019,3,TBA,TBA,TBA,Aug 21 2019,Dec 13 2019,TBA,TBA,Konstantinos Kanistras
HONORS THESIS,90008,HON,499,H2,Fall 2019,3,TBA,TBA,TBA,Aug 21 2019,Dec 13 2019,TBA,TBA,Phillip M Ligrani
HONORS THESIS,90009,HON,499,H3,Fall 2019,3,TBA,TBA,TBA,Aug 21 2019,Dec 13 2019,TBA,TBA,Robert L McFeeters
HONORS THESIS,90010,HON,499,H4,Fall 2019,3,TBA,TBA,TBA,Aug 21 2019,Dec 13 2019,TBA,TBA,Aleksandar Milenkovic
HONORS THESIS,90011,HON,499,H5,Fall 2019,3,TBA,TBA,TBA,Aug 21 2019,Dec 13 2019,TBA,TBA,Phillip M Ligrani
HONORS THESIS,90012,HON,499,H6,Fall 2019,3,TBA,TBA,TBA,Aug 21 2019,Dec 13 2019,TBA,TBA,Tathagata Mukherjee
HONORS THESIS,90013,HON,499,H7,Fall 2019,3,TBA,TBA,TBA,Aug 21 2019,Dec 13 2019,TBA,TBA,Wafa H Orman
HONORS THESIS,90014,HON,499,H8,Fall 2019,3,TBA,TBA,TBA,Aug 21 2019,Dec 13 2019,TBA,TBA,Aynslee Smithee
HONORS THESIS,90015,HON,499,H9,Fall 2019,3,TBA,TBA,TBA,Aug 21 2019,Dec 13 2019,TBA,TBA,Brinda Mahalingam
HONORS THESIS,90016,HON,499,H10,Fall 2019,3,TBA,TBA,TBA,Aug 21 2019,Dec 13 2019,TBA,TBA,William J Taylor
